ticker,price,market_cap,pe,dividend_yield,profit_margin,revenue_growth,roe,beta
NKE,43.76,64803614720.0,20.838095,3.7,0.066989996,-0.011,0.22138001,1.128
NI,47.07,22567204864.0,23.41791,2.55,0.14097999,0.082,0.091120005,0.542
NDSN,286.59,15968206848.0,30.585913,1.14,0.18188,0.085,0.1714,0.969
NSC,327.59,73574744064.0,27.621416,1.65,0.21912001,0.002,0.17615,1.263
NTRS,184.105,34068125696.0,19.298218,1.74,0.22364001,0.139,0.14462,1.26
NOC,541.82,76956573696.0,16.99028,1.74,0.108009994,0.044,0.28511998,-0.102
NCLH,19.63,9012331520.0,15.830645,,0.05664,0.096,0.29533002,1.876
NRG,139.48,29428391936.0,153.27472,1.36,0.00738,0.195,0.062480003,1.201
NUE,233.0,53063639040.0,23.09217,0.96,0.06824,0.213,0.12285,1.922
NVDA,203.53,4929700233216.0,31.168451,0.47,0.62966,0.852,1.14288,2.211
NVR,6437.99,17378015232.0,15.7231245,,0.12489,-0.214,0.33257,0.902
NXPI,278.39,70285426688.0,26.614723,1.39,0.21031,0.122,0.25812998,1.805
ORLY,,,,,,,,
OXY,54.81,54515929088.0,74.067566,1.97,0.22421,-0.083,0.04053,0.15
ODFL,232.9,48435814400.0,48.52083,0.51,0.18461001,-0.029,0.23331,1.184
OMC,82.55,23527264256.0,,3.88,0.00318,0.692,0.02015,0.656
ON,90.37,35170705408.0,66.44853,,0.09462,0.047,0.074939996,2.012
OKE,92.19,58082729984.0,16.433155,4.64,0.1003,0.196,0.15903,0.707
ORCL,131.54,378897137664.0,24.091574,1.42,0.25368,0.206,0.53376,1.712
OTIS,73.42,28172433408.0,19.526596,2.33,0.101110004,0.064,,0.891
PCAR,124.26,65396330496.0,26.4383,1.12,0.08913,-0.089,0.13108,0.976
PKG,,,,,,,,
PLTR,130.04,311746428928.0,147.77272,,0.43673,0.847,0.32587,1.562
PANW,330.3,269194493952.0,284.74136,,0.07947,0.311,0.048309997,0.908
PSKY,9.55,10688103424.0,318.33334,2.1,-0.02083,0.022,-0.0076800003,1.447
PH,951.26,119940939776.0,35.088898,0.83,0.16582,0.106,0.24841999,1.11
PAYX,110.75,39382700032.0,22.648262,4.43,0.26633,0.125,,
PYPL,47.65,42032328704.0,8.939963,1.18,0.14997,0.072,0.25120002,1.332
PNR,76.53,12367671296.0,19.228643,1.39,0.15975,0.026,0.1761,1.029
PEP,138.49,189177348096.0,18.15072,4.31,0.10785,0.064,0.51508,0.368
PFE,24.48,139522392064.0,18.687023,7.03,0.118310004,0.054,0.083100006,0.307
PCG,17.37,38252642304.0,13.465117,1.16,0.110089995,0.15,0.08826999,0.268
PM,180.19,280836734976.0,25.378874,3.24,0.26742,0.091,,0.405
PSX,198.29,79501402112.0,19.613255,2.56,0.03066,0.069,0.14547,0.681
PNW,108.63,13164561408.0,20.26679,3.35,0.11986,0.114,0.09559,0.425
PNC,252.85,101535621120.0,14.683509,3.16,0.31312,0.138,0.12104,0.897
PPG,113.84,25374935040.0,16.309456,2.49,0.09832,0.067,0.20748,1.045
PPL,36.07,27137275904.0,22.128834,3.19,0.13091,0.108,0.08316,0.589
PFG,113.61,24541167616.0,16.276505,2.89,0.10102,-0.045,0.13385999,0.888
PG,148.37,345494224896.0,21.502897,2.9,0.19162,0.074,0.31112,0.38
PGR,234.48,136514256896.0,11.735736,6.02,0.12927,0.087,0.37903,0.246
PLD,142.16,135634288640.0,35.718594,3.04,0.39646,0.083,0.06844,1.34
PRU,116.17,40348758016.0,11.963955,4.85,0.054759998,0.153,0.10711,0.84
PEG,80.89,40309219328.0,17.896017,3.31,0.17688,0.194,0.13441,0.527
PTC,125.42,14486735872.0,12.048031,,0.41575,0.217,0.344,0.994
PSA,321.86,56512061440.0,33.113167,3.74,0.39061,0.032,0.20175,0.952
PHM,123.75,23572686848.0,11.956521,0.84,0.121400006,-0.124,0.16178,1.186
PWR,646.7,97043898368.0,88.46786,0.07,0.036679998,0.263,0.13534,1.215
QCOM,183.98,193914912768.0,19.80409,1.95,0.22308001,-0.035,0.36083,1.638
DGX,207.35,22952906752.0,22.936947,1.66,0.0908,0.092,0.14538999,0.571
Q,140.98,29512640512.0,45.47742,0.22,0.13129,0.176,0.07481,
RL,374.49,22288275456.0,24.817097,1.0,0.11598,0.166,0.34664002,1.352
RJF,166.98,32541569024.0,15.767705,1.28,0.14583,0.131,0.17289,0.939
RTX,196.39,264475148288.0,36.846153,1.49,0.080290005,0.087,0.11571,0.298
O,64.17,59838046208.0,52.59836,5.14,0.18899,0.12,0.02831,0.729
REG,79.94,14943582208.0,27.47079,3.79,0.33106998,0.1,0.08003,0.825
REGN,663.09,69517713408.0,16.18082,0.57,0.29648,0.19,0.14548,0.236
RF,31.07,26514501632.0,12.892116,3.41,0.30997,0.073,0.11895,1.012
RSG,223.38,68726005760.0,32.048782,1.12,0.12991999,0.026,0.18346001,0.405
RMD,204.495,28793692160.0,19.653465,1.18,0.2744,0.108,0.25246,0.775
RVTY,111.11,12395406336.0,53.41827,0.25,0.08258,0.07,0.03227,1.091
HOOD,109.86,98929491968.0,54.38614,,0.41123,0.151,0.21461001,2.336
ROK,460.45,51236093952.0,47.863827,1.17,0.12358,0.119,0.27183,1.54
ROL,44.92,21627346944.0,41.211006,1.64,0.13766,0.102,0.38671002,0.747
ROP,360.59,36389789696.0,22.217499,1.02,0.21123,0.113,0.09012,0.752
ROST,219.46,70398623744.0,30.693707,0.8,0.097399995,0.206,0.38981998,0.879
RCL,288.61,77403750400.0,17.608908,1.75,0.24358,0.113,0.49576,1.764
SPGI,437.84,129600634880.0,27.693863,0.89,0.30361998,0.104,0.13939999,1.079
CRM,171.22,140229181440.0,19.840092,1.03,0.18733,0.133,0.16908,1.178
SNDK,,247897817088.0,57.151585,,,,,
SBAC,187.1,19844390912.0,19.694738,2.67,0.35656,0.059,,0.997
SLB,47.36,70805929984.0,20.863436,2.47,0.09263,0.027,0.14066,0.733
STX,860.66,192984924160.0,81.501884,0.34,0.21599,0.441,17.8797,2.067
SRE,94.41,61716516864.0,32.112244,2.79,0.1443,-0.039,0.05689,0.568
NOW,111.26,114743336960.0,66.2262,,0.12586,0.221,0.1607,0.959
SHW,328.97,81135722496.0,31.571016,0.96,0.1086,0.068,0.60723,1.1
SPG,219.49,83401728000.0,15.274183,4.01,0.70594,0.193,1.1359,1.327
SWKS,58.24,8759644160.0,24.266666,4.88,0.08931,-0.01,0.06171,1.497
SJM,110.53,11813522432.0,,3.98,-0.015319999,0.058,-0.02386,0.247
SW,43.15,22630625280.0,61.64286,4.19,0.01217,0.007,0.02113,0.935
SNA,401.11,20778266624.0,20.750647,2.43,0.19601,0.052,0.18202,0.721
SOLV,77.42,13407186944.0,9.476131,,0.17332001,-0.03,0.34794998,0.716
SO,96.47,108750741504.0,24.672634,3.18,0.14458999,0.08,0.109910004,0.332
LUV,47.92,23422035968.0,31.946665,1.5,0.02829,0.128,0.10062,1.118
SWK,86.53,13451570176.0,35.46311,3.76,0.024360001,0.027,0.04165,1.164
SBUX,107.34,122335387648.0,81.938934,2.34,0.03888,0.088,,0.969
STT,178.17,49311584256.0,18.088324,1.86,0.21295,-0.028,0.11261,1.433
STLD,234.14,33765980160.0,25.095392,0.93,0.07216,0.191,0.15247,1.542
STE,217.05,21153189888.0,27.405304,1.17,0.13179,0.073,0.11368,0.922
SYK,331.45,127064932352.0,38.31792,1.06,0.13205,0.026,0.152,0.778
SMCI,27.66,17892507648.0,14.557895,,0.03701,1.227,0.17877,1.936
SYF,73.21,24625664000.0,7.578675,1.66,0.36393002,0.061,0.2178,1.308
SNPS,433.82,83067559936.0,99.04566,,0.089090005,0.419,0.03824,1.222
SYY,83.46,39909117952.0,23.183334,2.64,0.02079,0.047,0.81894994,0.641
TMUS,188.41,203898191872.0,19.91649,2.17,0.116459996,0.106,0.18024999,0.319
TROW,113.65,24351399936.0,12.726764,4.39,0.28278,0.053,0.18688999,1.497
TTWO,244.095,45320302592.0,,,-0.0448,0.061,-0.105579995,0.961
TPR,,,,,,,,
TRGP,279.4,59971506176.0,28.539326,1.52,0.12874,-0.102,0.74097997,0.704
TGT,134.77,61211336704.0,17.803171,3.43,0.03243,0.067,0.22015,0.981
TEL,198.18,57847910400.0,20.243105,1.49,0.15543,0.145,0.22719999,1.169
TDY,623.88,28903821312.0,31.604864,,0.14987001,0.076,0.09049,0.924
TER,341.11,53398093824.0,63.285713,0.15,0.22553,0.87,0.2875,1.742
TSLA,394.76,1482609524736.0,355.63965,,0.03946,0.158,0.04901,1.802
TXN,298.57,271726411776.0,51.03761,1.82,0.29108,0.186,0.32347,1.31
TPL,408.92,28205025280.0,54.66845,0.59,0.60025,0.208,0.36466,0.594
TXT,89.42,15549152256.0,17.064886,0.09,0.0615,0.118,0.12254,0.905
TMO,528.51,196405673984.0,29.070957,0.36,0.15151,0.062,0.13523,0.868
TJX,150.53,166291144704.0,29.343079,1.27,0.09402,0.092,0.6125,0.623
TKO,180.96,34586214400.0,68.545456,1.72,0.044699997,0.259,0.06736,0.621
TTD,19.79,9303444480.0,22.235956,,0.14571,0.118,0.16735001,1.04
TSCO,30.24,15859355648.0,14.970297,3.17,0.06909,0.036,0.45504,0.456
TT,479.9,106084515840.0,36.633587,0.88,0.13415,0.06,0.36630002,1.195
TDG,1235.0,69077975040.0,38.605816,,0.21909,0.183,,0.884
TRV,341.51,72620285952.0,10.194328,1.46,0.15537,0.01,0.25272,0.473
TRMB,52.29,12189401088.0,27.376965,,0.12375,0.118,0.08252,1.383
TFC,51.95,64723431424.0,12.8589115,4.03,0.29624,0.052,0.08579001,0.875
TYL,314.22,12927185920.0,42.751022,,0.13262,0.086,0.08930001,0.821
TSN,57.92,20395335680.0,45.6063,3.52,0.00813,0.044,0.02619,0.391
USB,62.34,97108992000.0,13.069182,3.33,0.29294002,0.046,0.123500004,0.979
UBER,74.26,151163584512.0,18.426798,,0.15907,0.145,0.3531,1.113
UDR,40.18,14887318528.0,27.333332,4.35,0.27782,0.042,0.123500004,0.695
ULTA,473.33,20348131328.0,17.727715,,0.09355,0.111,0.47449002,0.879
UNP,289.13,171660312576.0,23.816309,1.91,0.29202,0.032,0.40686,0.965
UAL,121.16,39324868608.0,10.83721,,0.06061,0.106,0.25726998,1.258
UPS,112.89,95957204992.0,18.26699,5.81,0.05943,-0.016,0.33353,1.03
URI,1085.34,67992809472.0,27.701378,0.73,0.15319,0.072,0.28237,1.794
UNH,429.09,389675679744.0,31.950111,2.19,0.02678,0.02,0.121759996,0.633
UHS,152.77,9248139264.0,6.3787055,0.52,0.08563,0.096,0.21369,1.075
VLO,295.79,87829749760.0,21.590511,1.71,0.03569,0.066,0.1585,0.545
VEEV,196.81,31970463744.0,34.833626,,0.28370002,0.163,0.13934,0.941
VTR,92.06,44756783104.0,167.3818,2.21,0.042600002,0.219,0.0214,0.724
VLTO,92.94,22818627584.0,23.945877,0.56,0.17325,0.068,0.36463,0.782
VRSN,270.31,24598210560.0,29.835539,1.2,0.49958,0.066,,0.707
VRSK,193.725,25382207488.0,28.239796,1.08,0.2934,0.039,,0.688
VZ,42.68,178212847616.0,10.409757,6.72,0.12462,0.029,0.17198,0.238
VRTX,480.25,121890054144.0,28.484577,,0.35507,0.078,0.24197,0.292
VRT,305.87,117487353856.0,76.85176,0.08,0.14372,0.301,0.45097,2.029
VTRS,16.39,19087017984.0,,2.93,-0.02036,0.081,-0.01957,0.902
VICI,26.4,29068517376.0,9.041096,6.92,0.7683,0.035,0.11331,0.683
V,357.75,680348811264.0,31.162893,0.77,0.51679003,0.171,0.60349,0.754
VST,158.12,53315289088.0,26.441471,0.58,0.11525,0.434,0.42898,1.409
VMC,292.78,37989634048.0,34.689575,0.71,0.13809,0.074,0.13458,1.05
WRB,73.84,27488913408.0,15.644068,0.54,0.12639,0.04,0.20164,0.293
GWW,,65705558016.0,37.461105,0.67,,,,
WAB,260.86,44262031360.0,36.896744,0.47,0.10515001,0.13,0.11305001,0.937
WMT,114.78,913428316160.0,40.415493,0.86,0.03135,0.073,0.24132,0.603
DIS,96.0,166705102848.0,15.36,1.56,0.1154,0.065,0.1101,1.398
WBD,27.09,67918336000.0,,,-0.04665,-0.01,-0.049590003,1.548
WM,236.71,95056994304.0,34.256153,1.5,0.10994001,0.035,0.29936,0.448
WAT,373.22,36644925440.0,47.848717,,0.11926,0.914,0.05212,1.202
WEC,115.87,37741834240.0,23.035786,3.31,0.16239001,0.09,0.11679,0.46
WFC,87.67,268286803968.0,13.550232,2.05,0.26742,0.057,0.12028,0.917
WELL,234.55,165572231168.0,113.85923,1.26,0.119619995,0.383,0.03665,0.763
WST,359.7,25411940352.0,47.391304,0.24,0.16849001,0.21,0.19131,1.159
WDC,555.55,191488163840.0,33.226677,0.1,0.55286,0.455,0.85920995,2.166
WY,23.41,16879607808.0,41.80357,3.59,0.057800002,-0.02,0.04161,0.911
WSM,216.65,25509801984.0,24.315376,1.37,0.1381,0.044,0.54007,1.485
WMB,74.46,91064451072.0,32.657894,2.8,0.23056999,0.09,0.19656,0.595
WTW,295.55,27914098688.0,17.005178,1.33,0.16843,0.085,0.20611,0.441
WDAY,139.22,35779047424.0,45.13084,,0.08595,0.135,0.10858,1.104
WYNN,97.13,10080804864.0,27.830944,1.03,0.051420003,0.092,,0.988
XEL,80.48,50241216512.0,23.193085,2.94,0.14144,0.029,0.0959,0.405
XYL,121.21,28810827776.0,30.151741,1.42,0.10791001,0.027,0.08724,1.023
YUM,161.68,44562436096.0,26.119547,1.86,0.20481001,0.152,,0.56
ZBRA,266.71,12704302080.0,32.92716,,0.07487,0.143,0.11781,1.605
ZBH,94.08,18200950784.0,24.373058,1.02,0.09052,0.093,0.060650002,0.461
ZTS,75.39,31605608448.0,12.359016,2.81,0.28035,0.029,0.67748,0.749
